Micha? ''Nisha'' Jankowski,Nisha,Micha? Jankowski,Poland
Yeik ''MidOne'' Nai Zheng,Midone,Yeik Nai Zheng,Malaysia
Ludwig ''zai'' W?hlberg,Zai,Ludwig W?hlberg,Sweden
Yazied ''YapzOr'' Jaradat,Yapzor,Yazied Jaradat,Jordan
Clement ''Puppey'' Ivanov ,Puppey,Clement Ivanov,Estonia
Roman ''RAMZES666'' Kushnarev ,RAMZES666,Roman Kushnarev ,Russia
Vladimir ''No[o]ne'' Minenko,No[o]ne,Vladimir Minenko ,Ukraine
Pavel ''9pasha'' Khvastunov,9pasha,Pavel Khvastunov ,Russia
Vladimir ''RodjER'' Nikogosyan ,RodjER,Vladimir Nikogosyan ,Russia
Alexei ''Solo'' Berezin ,Solo,Alexei Berezin ,Russia
Zhang ''Paparazi灬'' Chengjun,Paparazi灬,Zhang Chengjun,China
Zeng ''Ori'' Jiaoyang?,Ori,Zeng Jiaoyang,China
Zhou?''Yang''?Haiyang,Yang,Zhou Haiyang,China
Pan ''Fade'' Yi,Fade,Pan Yi,China
Ding ''Dy'' Cong,Dy,Ding Cong,China
Artour ''Arteezy'' Babaev,Arteezy,Artour Babaev,Canada
Syed Sumail ''SumaiL'' Hassan,SumaiL,Syed Sumail Hassan,Pakistan
Gustav ''s4'' Magnusson,s4,Gustav Magnusson,Sweden
Andreas Franck ''Cr1t-'' Nielsen,Cr1t-,Andreas Franck Nielsen,Denmark
Tal ''Fly'' Aizik,Fly,Tal Aizik,Israel
Lasse ''MATUMBAMAN'' Urpalainen ,MATUMBAMAN,Lasse Urpalainen ,Finland
Amer ''Miracle-'' Al-Barkawi ,Miracle-,Amer Al-Barkawi ,Jordan
Ivan ''MinD_ContRoL'' Ivanov ,MinD_ContRoL,Ivan Ivanov ,Bulgaria
Maroun ''GH'' Merhej ,GH,Maroun Merhej ,Lebanon
Kuro ''KuroKy'' Salehi Takhasomi ,KuroKy,Kuro Salehi Takhasomi ,Germany
Aliwi ''w33'' Omar,w33,Aliwi Omar,Romania
Wang ''Ame'' Chunyu ,Ame,Wang Chunyu ,China
Lu ''Somnus丶M'' Yao ,Somnus丶M,Lu Yao ,China
Yang ''Chalice'' Shenyi ,Chalice,Yang Shenyi ,China
Xu ''fy'' Linsen ,fy,Xu Linsen ,China
Jian Wei ''xNova'' Yap,xNova,Yap Jian Wei ,Malaysia
Anucha ''Jabz'' Jirawong ,Jabz,Anucha Jirawong ,Thailand
Abed ''Abed'' Azel Yusop ,Abed,Abed Azel Yusop ,Philippines
Daryl Koh ''iceiceice'' Pei Xiang ,iceiceice,Daryl Koh Pei Xiang ,Singapore
Djardel ''DJ'' Mampusti ,DJ,Djardel Mampusti ,Philippines
Kim ''DuBu'' Doo-young ,DuBu,Kim Doo-young ,South Korea
Marcus ''Ace'' Hoelgaard ,Ace,Marcus Hoelgaard ,Denmark
Adrian ''Fata'' Trinks ,Fata,Adrian Trinks ,Germany
Neta ''33'' Shapira ,33,Neta Shapira ,Israel
Martin ''Saksa'' Sazdov ,Saksa,Martin Sazdov ,North Macedonia
Peter ''ppd'' Dager ,ppd,Peter Dager ,USA
Kim ''Gabbi'' Villafuerte ,Gabbi,Kim Villafuerte ,Philippines
Armel Paul ''Armel'' Tabios ,Armel,Armel Paul Tabios ,Philippines
Anathan ''ana'' Pham ,ana,Anathan Pham ,Australia
Topias ''Topson'' Taavitsainen ,Topson,Topias Taavitsainen ,Finland
Sébastien ''Ceb'' Debs ,Ceb,Sébastien Debs ,France
Jesse ''JerAx'' Vainikka ,JerAx,Jesse Vainikka ,Finland
Johan ''N0tail'' Sundstein ,N0tail,Johan Sundstein ,Denmark
Michael ''miCKe'' Vu ,miCKe,Michael Vu ,Sweden
Maximilian ''qojqva'' Br?cker ,qojqva ,Maximilian Br?cker ,Germany
Samuel ''Boxi'' Svahn ,Boxi ,Samuel Svahn ,Sweden
Tommy ''Taiga'' Le ,Taiga,Tommy Le ,Norway
Aydin ''iNSaNiA'' Sarkohi ,iNSaNiA  ,Aydin Sarkohi ,Sweden
Wang ''old chicken'' Zhiyong ,old chicken,Wang Zhiyong ,China
Zhai ''一'' Jingkai ,一,Zhai Jingkai ,China
Ren ''eLeVeN'' Yangwei ,eLeVeN,Ren Yangwei ,China
Hu ''Kaka'' Liangzhi ,Kaka,Hu Liangzhi ,China
Song ''dark'' Runxi ,dark,Song Runxi ,China
Yawar ''YawaR'' Hassan ,YawaR,Yawar Hassan,Pakistan
Quinn ''CCnC'' Callahan ,CCnC,Quinn Callahan,USA
Jingjun ''Sneyking'' Wu ,Sneyking,Jingjun Wu,USA
Arif ''MSS'' Anwar,MSS,Arif Anwar,USA
Johan ''pieliedie'' ?str?m ,pieliedie,Johan ?str?m,Sweden
Christian ''Alucard'' Kimura ,Alucard ,Christian Kimura ,Peru
Sebastian ''Robo-Z'' Cerralta ,Robo-Z,Sebastian Cerralta ,Peru
Benjamín ''Benjaz'' Lanao ,Benjaz,Benjamín Lanao ,Peru
Alexis ''sl4d1n-'' Cepeda ,sl4d1n-,Alexis Cepeda ,Ecuador
Mariano ''Papita'' Caneda ,Papita,Mariano Caneda ,Argentina
Cheng ''vtFαded'' Jia Hao ,vtFαded,Cheng Jia Hao ,Malaysia
Maurice '' KheZu'' Gutmann ,KheZu,Maurice Gutmann ,Germany
Milan ''MiLAN'' Kozomara ,MiLAN,Milan Kozomara ,Bosnia and Herzegovina
Rasmus ''MISERY'' Berth Filipsen ,MISERY,Rasmus Berth Filipsen ,Denmark
Vladislav ''Crystallize'' Krystanek ,Crystallize,Vladislav Krystanek ,Ukraine
Idan ''MagicaL'' Vardanian ,MagicaL,Idan Vardanian ,Israel
Evgeniy ''Blizzy'' Ree ,Blizzy,Evgeniy Ree ,Kyrgyzstan
Bakyt ''Zayac'' Emilzhanov ,Zayac,Bakyt Emilzhanov ,Kyrgyzstan
Akbar ''SoNNeikO'' Butaev ,SoNNeikO,Akbar Butaev ,Russia
Du ''Monet'' Peng ,Monet,Du Peng ,China
Gao ''Setsu'' Zhenxiong,Setsu,Gao Zhenxiong ,China
Su ''Flyby'' Lei,Flyby,Su Lei ,China
Zhang ''LaNm'' Zhicheng,LaNm,Zhang Zhicheng ,China
Tue ''ah fu'' Soon Chuan,ah fu,Tue Soon Chuan ,Malaysia
Chai ''Mushi'' Yee Fung,Mushi,Chai Yee Fung ,Malaysia
Kam ''Moon'' Boon Seng,Moon,Kam Boon Seng ,Malaysia
